theme_id,category_name,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,dalil,ustadz_hint
islamic,Rukun Islam,easy,"Berapakah jumlah Rukun Islam yang wajib diyakini oleh umat Muslim?","4 perkara","5 perkara","6 perkara","7 perkara",B,"Rukun Islam terdiri dari 5 perkara: Syahadat, Shalat, Zakat, Puasa, dan Haji bagi yang mampu.",HR. Bukhari dan Muslim,Ingatlah rukun dasar yang diawali dengan Syahadat.
islamic,Al-Qur'an,easy,Surah manakah yang dijuluki sebagai Ummul Qur'an (Induk Al-Qur'an)?,Surah Al-Ikhlas,Surah Al-Fatihah,Surah Yasin,Surah Al-Baqarah,B,Surah Al-Fatihah dinamakan Ummul Qur'an karena memuat seluruh inti ajaran Al-Qur'an.,HR. Tirmidzi,Surah ini selalu kita baca di setiap rakaat shalat.
islamic,Aqidah,medium,Siapakah Nabi terakhir dan penutup para nabi (Khatamun Nabiyyin)?,Nabi Musa AS,Nabi Isa AS,Nabi Muhammad SAW,Nabi Ibrahim AS,C,Nabi Muhammad SAW adalah nabi penutup tidak ada nabi setelah beliau.,QS. Al-Ahzab: 40,Nabi penerima kitab suci Al-Qur'an.
islamic,Ramadhan,medium,Malam yang lebih baik dari 1000 bulan pada bulan Ramadhan dikenal dengan sebutan...,Malam Isra Mi'raj,Malam Nuzulul Qur'an,Malam Lailatul Qadar,Malam Nisfu Sya'ban,C,Lailatul Qadar adalah malam kemuliaan di bulan Ramadhan yang nilainya lebih baik dari seribu bulan.,QS. Al-Qadr: 3,Nama malam ini diabadikan dalam surah Al-Qadr.
islamic,Aqidah,easy,Siapakah malaikat yang bertugas menyampaikan wahyu kepada para nabi?,Malaikat Mikail,Malaikat Israfil,Malaikat Jibril,Malaikat Malik,C,Malaikat Jibril mendapat tugas menyampaikan wahyu Allah kepada para nabi dan rasul.,QS. An-Nahl: 102,Ingat malaikat yang menemui Nabi Muhammad ﷺ di Gua Hira.
islamic,Akhlak,easy,Apa ucapan yang dianjurkan ketika bertemu sesama Muslim?,Selamat pagi,Assalamu'alaikum,Permisi,Halo,B,Mengucapkan salam adalah sunnah dan dapat mempererat persaudaraan sesama Muslim.,HR. Muslim,Salam adalah doa keselamatan untuk sesama Muslim.
islamic,Al-Qur'an,medium,Berapa jumlah surat dalam Al-Qur'an?,100 surat,114 surat,120 surat,99 surat,B,Al-Qur'an terdiri dari 114 surat yang diturunkan kepada Nabi Muhammad ﷺ.,QS. Al-Hijr: 9,Angkanya lebih dari 100 tetapi kurang dari 120.
islamic,Nabi & Rasul,easy,Nabi yang terkenal mampu membuat kapal besar atas perintah Allah adalah...,Nabi Ibrahim AS,Nabi Nuh AS,Nabi Yusuf AS,Nabi Yunus AS,B,Nabi Nuh AS membuat kapal untuk menyelamatkan orang-orang beriman dari banjir besar.,QS. Hud: 37-38,Kisah banjir besar pasti sudah pernah kamu dengar.
islamic,Ramadhan,easy,Ibadah yang paling utama dilakukan saat bulan Ramadhan adalah...,Tidur sepanjang hari,Bermain sepanjang hari,Berpuasa wajib,Berpiknik,C,Puasa Ramadhan merupakan salah satu kewajiban bagi umat Islam yang memenuhi syarat.,QS. Al-Baqarah: 183,Ibadah ini dilakukan mulai Subuh hingga Maghrib.
islamic,Rukun Islam,easy,Rukun Islam yang pertama adalah...,Puasa Ramadhan,Shalat lima waktu,Membaca Al-Qur'an,Mengucapkan dua kalimat syahadat,D,Syahadat adalah pintu masuk seseorang ke dalam agama Islam.,HR. Bukhari dan Muslim,Semua Rukun Islam diawali dengan mengakui keesaan Allah dan kerasulan Muhammad ﷺ.
islamic,Shalat,easy,Menghadap ke arah apakah umat Islam ketika melaksanakan shalat?,Gunung Uhud,Masjid Nabawi,Ka'bah,Masjid Al-Aqsa,C,Umat Islam menghadap Ka'bah di Masjidil Haram ketika melaksanakan shalat.,QS. Al-Baqarah: 144,Arah ini disebut kiblat.
islamic,Doa Harian,easy,Apa yang sebaiknya diucapkan setelah selesai makan?,Bismillah,Astaghfirullah,Alhamdulillah,Subhanallah,C,Kita dianjurkan memuji Allah setelah selesai makan sebagai bentuk rasa syukur.,HR. Abu Dawud,Ucapan ini juga sering diucapkan ketika mendapat nikmat.
islamic,Adab,easy,Apa yang sebaiknya dilakukan sebelum memasuki masjid?,Berlari secepat mungkin,Melepas alas kaki dan masuk dengan tenang,Berbicara keras,Makan terlebih dahulu,B,Masjid adalah tempat ibadah sehingga kita menjaga kebersihan dan bersikap sopan.,HR. Bukhari dan Muslim,Jagalah kesopanan saat berada di rumah Allah.
independence,Tokoh Pahlawan,medium,"Siapakah pahlawan nasional yang dikenal sebagai ""Bapak Pendidikan Nasional"" Indonesia?","Ir. Soekarno","Ki Hajar Dewantara","Moh. Hatta","R.A. Kartini",B,"Ki Hajar Dewantara adalah pelopor pendidikan bagi kaum pribumi Indonesia pada masa penjajahan Belanda.",Semboyan: Tut Wuri Handayani,"Lahir tanggal 2 Mei yang diperingati sebagai Hari Pendidikan Nasional."
culture,Rumah & Pakaian Adat,easy,Apa nama rumah adat tradisional masyarakat Jawa?,Rumah Gadang,Rumah Joglo,Rumah Tongkonan,Rumah Honai,B,Rumah Joglo adalah rumah adat tradisional masyarakat Jawa dengan atap berbentuk khas tajuk.,Warisan Budaya Jawa,Memiliki struktur pendopo utama di bagian depan.
